Company,JobID,Published Title,Inferred Title,Known Name
ClassDojo,ee83e5c4001c5c30,Data Scientist,Data Scientist,N
Roblox,152958d516396460,Data Scientist - Ads/Subscriptions,Data Scientist,N
Unity Technologies,636565b6db8a0ccc,"Data Scientist, Game Economy Optimization",Data Scientist,N
Pinterest,e6ae2945a2be55f9,"Data Scientist, Experimentation (Statistics)",Data Scientist,N
Airbus UTM,16b94bb31cf6d0b6,Data Scientist,Data Scientist,N
States Title,5e364920c1dc4f3b,Data Scientist,Data Scientist,N
Invitae,d2065507b45d1d0b,Data Scientist,Data Scientist,N
Akamai,8f51116ee4435cf6,Senior Data Scientist,Data Scientist,N
HersheyCareers,b1c8753579980858,Data Scientist HR Analytics,Data Scientist,N
Cerego LLC,10ebccbb5ecb73e9,Data Scientist,Data Scientist,N
Chime,b43f1cdbeef88f0c,Data Scientist,Data Scientist,N
Nextdoor,7029e1f472135080,Data Scientist,Data Scientist,N
Trilogy Ed,2c655d2eaeaf2d07,Data Scientist,Data Scientist,N
Metromile,fa11c6432e45c707,Data Scientist,Data Scientist,N
MasterClass,5842a86b26f1647a,Data Scientist,Data Scientist,N
Liberty Mutual,63eb657a3aad9637,"Data Scientist, Distribution Insights, Global Retail Markets",Data Scientist,N
Thorn,231feffbbeca1500,Data Scientist,Data Scientist,N
San Francisco Giants,b9e62a6b2608e8af,Data Scientist,Data Scientist,N
Optimizely,7cf259d616b99bc1,Data Scientist - Statistical Inference,Data Scientist,N
TiVo,30af0f427e2658c8,Staff Data Scientist,Data Scientist,N
Google,02679a29f39e8773,"Data Scientist, Google Cloud, Revenue Acceleration",Data Scientist,N
Paradigm,edaab9012cac5413,People Data Scientist,Data Scientist,N
Kelvin Inc.,5ece6662a69f9700,Data Scientist - Statistician,Data Scientist,N
Bold Metrics,3f8c7a77798ec4d9,Data Scientist,Data Scientist,N
IBM,a387e307cd69bbbd,Data Scientist,Data Scientist,N
Samba TV,38bcc426560cc1db,Data Scientist,Data Scientist,N
DecisionLogic,dfb02687ff85ab14,Data Scientist,Data Scientist,N
